popularity,count
0.0,848
1.0,388
2.0,463
3.0,472
4.0,433
5.0,473
6.0,424
7.0,460
8.0,486
9.0,559
10.0,568
11.0,591
12.0,682
13.0,720
14.0,713
15.0,764
16.0,897
17.0,865
18.0,926
19.0,1029
20.0,1168
21.0,1170
22.0,1221
23.0,1348
24.0,1383
25.0,1313
26.0,1453
27.0,1431
28.0,1719
29.0,1777
30.0,1859
31.0,1972
32.0,2108
33.0,2095
34.0,2208
35.0,2192
36.0,2345
37.0,2299
38.0,2341
39.0,2381
40.0,2383
41.0,2362
42.0,2430
43.0,2398
44.0,2406
45.0,2347
46.0,2335
47.0,2372
48.0,2206
49.0,2233
50.0,2173
51.0,2097
52.0,1966
53.0,2021
54.0,1840
55.0,1687
56.0,1614
57.0,1508
58.0,1406
59.0,1398
60.0,1303
61.0,1229
62.0,1113
63.0,1016
64.0,964
65.0,900
66.0,786
67.0,703
68.0,571
69.0,519
70.0,473
71.0,430
72.0,363
73.0,319
74.0,258
75.0,197
76.0,190
77.0,148
78.0,134
79.0,125
80.0,114
81.0,69
82.0,59
83.0,43
84.0,36
85.0,32
86.0,36
87.0,27
88.0,15
89.0,8
90.0,8
91.0,2
92.0,5
93.0,6
94.0,2
95.0,8
97.0,2
